storenum	studentid	year	month	day	hour	minute	money
3		2012013472	2016	8	24	0	51	-13.62
7		2014010416	2016	9	12	4	33	246.65
3		2014011446	2015	12	28	10	59	-16.22
12		2012010639	2015	4	15	9	48	-16.98
6		2015011943	2015	4	24	23	15	-21.42
7		2014012381	2016	10	22	23	6	-5.99
13		2013010050	2015	3	29	21	5	-22.72
10		2012012030	2015	3	18	0	14	114.25
7		2013010983	2015	8	17	0	43	-18.21
2		2015011838	2016	3	21	7	11	-17.84
10		2012010774	2015	12	29	2	49	-6.65
6		2013011000	2015	3	2	9	32	-5.27
4		2013013806	2016	6	9	13	37	-17.03
13		2013010922	2016	8	21	23	31	-13.64
13		2015010956	2016	7	24	19	11	-22.02
6		2013013101	2016	1	14	2	25	-5.83
5		2012010585	2016	7	13	7	40	-11.75
9		2015012484	2015	10	31	2	23	-20.75
13		2012010948	2015	2	21	22	17	-19.39
7		2015010883	2016	2	10	15	27	-22.62
12		2014011055	2015	9	28	1	53	-14.00
1		2013011883	2015	5	24	15	29	-5.93
5		2013011785	2016	7	24	14	56	-12.92
14		2012013641	2015	11	29	15	13	-11.89
9		2015013730	2016	11	23	17	13	-20.59
14		2012011063	2015	11	11	1	18	-14.19
2		2015010993	2016	1	26	2	0	-12.83
11		2014010479	2016	3	8	17	26	245.61
2		2014010856	2016	10	28	1	59	-20.83
6		2013011894	2015	10	8	6	18	-7.64
9		2015011089	2016	12	26	19	35	-3.17
9		2013011133	2016	11	22	15	48	-9.46
3		2013013778	2015	3	11	17	12	-3.25
3		2015011432	2016	9	27	14	34	198.67
7		2014011097	2016	2	20	3	29	-5.24
3		2015012951	2016	7	14	17	17	-3.10
8		2012010620	2016	11	10	9	12	-18.90
6		2015013815	2016	10	13	14	37	-11.57
3		2014013338	2016	8	12	12	45	-12.83
14		2015012888	2016	6	30	13	10	-22.52
11		2013010096	2015	2	9	22	3	-21.70
1		2014012757	2015	2	27	6	12	-20.13
8		2015013469	2015	8	20	22	23	-12.29
3		2012012517	2015	6	16	15	53	-15.29
6		2012012599	2015	3	21	10	32	-16.59
2		2015013175	2016	6	24	9	47	-3.46
8		2014010075	2015	1	10	20	16	-8.90
9		2015012607	2015	5	14	20	46	-19.33
2		2014012224	2015	7	18	0	5	-20.12
8		2015013211	2015	2	4	19	40	-19.22
13		2014010202	2015	4	19	16	53	-19.13
14		2015011603	2015	12	28	19	8	-19.10
9		2015010625	2016	1	4	6	4	-17.83
8		2012012046	2016	11	11	16	39	-22.53
8		2012011120	2016	5	14	21	27	-15.33
1		2012011472	2015	7	12	14	45	-13.05
10		2013011467	2015	10	18	13	28	-5.77
6		2013013032	2016	10	16	3	9	-4.64
3		2012011820	2015	1	10	5	47	-4.57
4		2014010927	2016	8	12	5	6	113.90
8		2012010522	2015	12	23	15	51	156.20
12		2012010487	2016	5	12	20	53	400.95
8		2013010429	2015	9	12	4	30	77.51
6		2015013799	2016	11	24	5	48	-8.61
6		2015012748	2016	7	6	0	58	-9.08
13		2012011496	2015	8	25	6	36	-6.92
9		2015012902	2015	7	18	11	56	-10.03
5		2014013736	2015	9	3	15	12	-17.36
2		2015010965	2016	6	25	0	26	-12.01
2		2014010724	2016	1	12	7	12	-17.65
13		2015012312	2016	12	11	9	50	-21.45
10		2014011886	2015	4	11	4	48	-8.60
8		2014012063	2016	8	26	7	43	-15.96
4		2014013547	2015	3	3	17	44	24.04
7		2015012491	2015	10	1	6	0	-8.95
3		2015012380	2016	11	23	8	51	-6.51
9		2013010295	2015	8	1	9	2	-9.34
7		2014012851	2015	2	11	18	30	-15.09
5		2012013238	2016	7	5	17	47	-15.04
7		2015012454	2016	6	30	12	58	-4.40
9		2014013892	2015	10	20	11	55	-10.93
13		2014011595	2015	2	2	15	37	-7.16
7		2013010469	2015	10	14	5	9	-3.35
10		2012011679	2016	1	11	9	24	-11.17
9		2014011167	2016	10	20	21	11	-14.67
1		2013011593	2015	5	12	15	33	408.56
13		2013011275	2016	8	26	6	15	89.34
11		2012010195	2015	12	16	2	3	-22.31
13		2015010611	2015	4	15	17	6	-12.37
13		2015011965	2016	6	7	13	0	-13.43
11		2012011997	2016	10	17	1	52	-22.78
6		2013010417	2015	6	30	17	23	-12.23
5		2012012118	2015	1	4	13	13	-4.53
2		2012011943	2015	6	23	5	18	-22.23
6		2013011733	2015	9	15	4	24	-18.42
12		2015012267	2015	11	3	13	51	324.28
8		2012012760	2015	1	7	5	43	-4.37
4		2012010851	2016	3	22	4	19	-4.04
6		2014011810	2016	11	10	3	32	-7.86
8		2015011838	2016	2	28	3	26	-9.66
7		2015010274	2015	3	13	12	21	-4.01
3		2012011442	2015	6	16	17	31	-16.12
9		2013012748	2015	1	6	20	18	-9.99
7		2013012996	2015	8	24	19	8	-9.62
12		2015010150	2016	9	28	12	50	-14.43
11		2012013396	2016	10	16	17	55	-22.92
10		2014013855	2016	1	16	5	24	-9.16
7		2013012567	2015	9	4	5	2	-22.06
10		2015013617	2015	7	24	19	39	-19.74
4		2013010781	2015	2	17	2	15	-10.64
10		2013012925	2016	4	19	11	32	-18.76
2		2013012536	2016	8	8	11	46	-6.58
12		2013010285	2016	9	3	16	16	-4.53
2		2014010045	2015	10	19	22	4	-22.01
5		2014012072	2015	6	20	5	43	-10.89
11		2014010360	2016	1	4	9	46	-6.27
7		2014011273	2015	3	18	5	7	-11.93
9		2013012068	2015	1	10	10	11	-6.44
14		2014012916	2016	9	13	2	39	-16.99
9		2012013030	2016	1	21	10	47	-8.75
11		2013010798	2015	6	15	14	37	-14.65
1		2015012333	2016	9	22	16	1	-11.22
13		2012011225	2015	12	4	0	5	-5.05
3		2012010546	2016	2	6	13	53	-22.45
7		2012012747	2015	8	5	18	18	-13.57
14		2013010285	2016	8	2	18	41	-15.67
2		2013012481	2015	10	20	14	59	158.44
2		2013013457	2016	4	25	1	1	-17.84
14		2015011000	2015	9	14	8	25	-15.50
6		2012012502	2015	6	12	8	47	-16.32
2		2015013513	2015	6	8	2	10	-16.18
8		2013010044	2016	3	25	5	35	330.66
7		2013010003	2015	3	26	14	13	301.75
1		2012011489	2015	11	18	13	3	-12.33
12		2012012488	2016	8	7	23	59	-8.17
10		2012010082	2015	6	15	3	13	-11.30
10		2012010363	2015	2	13	13	22	-12.27
10		2012011125	2016	6	23	5	53	-16.13
14		2013010151	2016	4	26	1	27	37.60
7		2013011196	2015	8	29	22	28	-19.17
8		2015010009	2015	5	6	16	39	-6.81
9		2013012153	2015	11	13	10	50	-4.39
12		2013013183	2015	6	21	2	4	-22.09
10		2013010435	2016	5	4	9	25	-4.40
7		2014011175	2015	3	7	23	22	-18.29
11		2012010601	2015	6	24	22	56	-13.29
1		2013011277	2016	10	31	1	18	-10.76
12		2013010838	2016	8	24	10	31	-12.27
11		2015010559	2015	9	5	6	16	-20.58
10		2012013100	2016	12	12	20	1	-5.83
14		2013013399	2016	9	4	1	27	-3.67
14		2013013089	2016	7	3	16	0	-21.09
3		2015012708	2016	3	22	10	23	-18.67
12		2013013576	2015	1	10	3	34	-12.43
8		2012011391	2016	8	7	7	37	-18.83
7		2013010621	2016	3	17	9	7	-5.53
11		2015011303	2015	2	11	22	34	-8.30
13		2014011693	2016	10	14	19	22	-15.67
4		2015010783	2016	3	11	23	49	397.70
11		2013013416	2015	8	29	7	48	-16.94
1		2012010326	2016	2	10	18	5	-6.57
8		2012011331	2016	12	29	19	4	-17.47
12		2014010322	2015	5	17	1	32	-20.23
2		2015011951	2016	3	1	12	34	-20.49
14		2012011828	2015	8	1	12	45	-11.32
4		2015010699	2015	6	24	10	42	-16.84
10		2012010011	2016	6	1	23	40	-6.33
3		2012011103	2016	11	18	4	8	289.67
10		2014010388	2015	2	8	11	25	201.40
12		2013013025	2015	5	30	21	54	-13.76
9		2012010224	2015	9	15	10	42	-9.10
10		2013012664	2016	5	22	2	52	-22.22
4		2015011379	2015	9	5	9	17	-7.17
11		2013010872	2015	5	30	8	43	-4.19
11		2012013225	2015	12	21	13	42	-3.99
4		2015012365	2015	7	16	6	28	-6.66
5		2014012542	2015	2	21	0	38	-20.03
14		2015013445	2015	1	13	9	24	-11.89
1		2014013568	2015	9	26	17	11	-21.48
12		2014011684	2016	7	28	6	22	-6.55
2		2013010429	2016	4	7	0	22	-15.12
14		2013011635	2016	5	20	18	55	-8.57
14		2012010751	2016	3	8	2	3	-21.39
11		2013010543	2016	4	13	2	26	-11.96
4		2014012557	2015	12	3	7	45	-16.89
13		2012013239	2015	4	5	6	58	-8.14
6		2012011893	2016	4	7	17	5	-17.04
13		2013013132	2016	9	13	5	46	-21.21
9		2014011601	2015	3	12	17	49	-20.63
9		2015011868	2016	5	15	6	21	-17.84
6		2012012422	2016	8	22	2	33	-13.39
14		2015010589	2015	10	6	17	17	-11.85
2		2012012304	2015	9	2	1	11	-6.76
8		2015012785	2015	3	1	20	59	269.53
2		2015013094	2015	6	18	16	4	-16.44
5		2015013440	2015	2	12	10	47	-22.71
5		2012012217	2015	10	1	23	42	-17.02
14		2013013266	2015	4	1	16	57	-12.45
9		2012012987	2015	10	21	7	6	-10.18
13		2015013148	2016	2	15	6	1	-19.03
1		2012011243	2016	2	8	4	24	-6.82
7		2012011792	2015	1	7	17	23	295.20
9		2015012633	2015	7	23	1	33	333.99
7		2012012847	2016	7	31	11	20	-17.31
6		2014010355	2015	7	15	20	34	-13.97
1		2014012997	2016	11	21	14	42	-6.38
9		2013010562	2015	10	13	21	14	-9.79
5		2015013664	2016	10	11	18	31	-12.75
4		2012012174	2016	6	3	3	3	-15.96
14		2013010595	2015	5	9	23	18	-21.00
4		2012012578	2016	7	8	4	45	-12.36
13		2015011516	2015	9	24	11	40	-10.85
8		2013011783	2016	3	7	19	53	-18.69
14		2013011312	2015	6	27	22	30	-8.36
4		2012011393	2016	6	14	13	40	-18.86
2		2013013429	2015	11	14	9	6	-16.34
12		2013010741	2016	1	14	19	51	-17.49
8		2012011633	2015	4	2	10	25	97.09
5		2012011215	2016	9	26	20	12	-18.39
5		2013011241	2015	9	22	16	41	-5.01
8		2012010681	2016	2	11	2	59	-10.31
8		2013012393	2016	1	15	5	58	-10.29
14		2012012108	2015	5	6	5	16	-10.97
7		2015010480	2016	11	19	13	55	-6.12
8		2013013276	2016	1	11	22	34	175.66
10		2014011049	2016	5	25	4	50	82.59
7		2013011504	2015	6	7	22	34	-20.01
6		2012013528	2016	9	4	13	32	-19.32
7		2013010230	2015	5	4	8	56	-15.43
11		2013010570	2015	5	12	23	52	-10.13
1		2013011025	2016	7	6	13	19	-13.74
14		2015012565	2016	7	17	0	23	-7.28
11		2014011094	2015	1	26	2	55	-15.89
1		2012010691	2015	7	26	18	42	-3.29
8		2014012651	2015	10	21	22	54	-9.43
2		2014013133	2016	6	13	23	45	130.37
1		2013010721	2016	1	15	11	6	-20.29
1		2012010972	2016	3	18	12	47	-3.22
2		2014013471	2015	12	8	9	5	-11.81
14		2014013637	2015	8	29	4	17	-22.73
5		2012011196	2016	8	16	17	55	-22.04
14		2014012434	2015	8	30	14	5	-22.58
12		2012011959	2015	3	14	3	56	-19.89
14		2014010560	2016	10	10	18	21	-10.78
6		2014011842	2015	11	21	23	32	-5.95
3		2015012280	2015	1	25	23	52	-4.10
12		2012010717	2016	8	27	20	4	-6.41
1		2014011111	2016	9	27	5	48	-15.09
2		2013013325	2015	9	9	16	29	-4.74
9		2014012642	2015	2	6	13	22	-3.14
4		2015011590	2016	11	22	16	6	-17.13
5		2015011426	2016	10	19	11	21	-11.91
11		2013012075	2015	7	13	4	51	278.40
1		2012011408	2016	2	7	15	45	-9.02
12		2014012181	2016	2	1	17	8	-4.56
1		2013010857	2015	5	19	4	0	-9.58
10		2014011389	2015	7	16	17	12	-14.90
7		2012010110	2015	7	27	17	50	-19.08
3		2013013009	2016	2	6	19	41	-16.71
3		2014010518	2015	7	24	14	14	-7.79
4		2012012184	2016	8	22	5	31	-12.33
3		2015010005	2015	5	9	16	20	264.35
10		2012012296	2015	7	6	17	38	344.02
7		2014013566	2016	7	21	4	10	-10.63
10		2012012244	2015	12	27	12	5	-22.78
1		2014012657	2015	7	16	23	24	-11.16
12		2012010101	2016	2	28	16	23	268.05
7		2015011054	2016	2	17	23	10	-11.44
11		2015012621	2015	5	13	20	29	-8.13
1		2014013297	2015	11	8	9	46	-15.79
4		2013010595	2015	6	10	2	42	-3.00
7		2014011611	2016	11	19	22	10	-8.86
7		2014011010	2015	8	4	16	24	-13.96
14		2015010322	2015	11	30	8	41	-16.24
7		2014010506	2015	7	6	22	32	-10.70
11		2013011421	2016	11	25	19	48	-20.34
12		2013011180	2015	3	9	20	33	-18.16
11		2012010485	2016	3	20	5	39	-21.23
3		2014013310	2016	12	2	12	26	161.03
4		2014013281	2016	8	8	14	7	-12.38
12		2012013383	2016	1	8	20	23	-13.96
13		2014012786	2015	1	10	18	19	-10.12
4		2015011198	2015	3	14	22	4	-5.97
4		2012011641	2016	4	20	14	58	319.33
6		2013010971	2015	3	24	20	51	-13.85
5		2015010606	2016	4	18	20	2	-15.56
11		2012011754	2016	3	18	5	11	-7.97
5		2014011843	2015	11	7	21	8	-20.68
1		2012011263	2015	2	12	3	39	-7.90
1		2014013628	2016	9	22	21	12	-19.48
12		2015012449	2015	12	2	9	53	-7.06
13		2013012121	2015	4	5	12	32	-6.70
10		2012012149	2015	11	9	8	47	93.46
14		2013010057	2015	12	29	2	7	-22.52
10		2014010005	2015	5	17	20	52	-4.65
11		2014011823	2015	9	15	16	59	-15.20
10		2015011769	2016	3	16	1	16	-8.67
1		2013012458	2015	12	11	8	46	-7.36
6		2014010888	2015	3	13	8	11	-4.97
5		2015011985	2015	4	5	3	47	118.32
3		2012011755	2016	7	9	9	11	95.69
13		2012012525	2016	4	24	21	32	-13.04
2		2014011475	2015	8	13	15	37	-19.97
4		2012010116	2016	7	18	6	16	-22.75
5		2015010125	2016	1	25	17	39	-21.14
6		2012011616	2015	5	1	4	42	-11.33
9		2014012332	2015	2	23	3	10	-20.92
7		2014011319	2016	11	9	21	1	-10.33
13		2012013770	2016	8	18	10	58	-15.15
4		2012012418	2016	12	19	9	5	224.37
14		2012012692	2016	5	31	16	3	-17.41
11		2015011723	2015	6	2	20	40	-7.65
5		2012011228	2015	4	3	9	56	-21.91
14		2015012922	2015	3	29	22	51	-17.56
3		2014011202	2016	11	16	14	52	-7.44
1		2013012982	2016	11	11	9	11	-7.80
13		2013011382	2016	10	23	11	13	-11.14
14		2015013662	2016	2	6	5	22	-8.62
4		2012013667	2016	8	27	9	53	407.64
5		2012012100	2015	9	23	18	44	-15.82
1		2013012329	2016	11	27	10	28	-8.45
6		2015013195	2015	11	12	16	14	-16.64
2		2015010743	2015	6	3	13	30	-19.77
4		2013010492	2016	9	25	17	48	-12.39
2		2013013827	2015	3	20	0	40	-3.73
10		2012011998	2016	1	9	13	15	-9.82
2		2014011255	2015	5	29	6	7	-7.32
4		2013010068	2015	1	28	5	6	-10.43
10		2015011689	2016	5	10	19	18	-7.86
9		2014013138	2015	4	28	22	34	-19.09
10		2012011435	2016	5	13	21	26	-10.48
11		2014011215	2016	12	2	19	46	-13.29
1		2012012647	2015	4	23	8	23	-9.13
6		2015010991	2015	2	24	0	15	311.13
12		2015013818	2016	6	29	9	14	-12.68
5		2013012466	2015	2	19	13	16	-4.60
12		2014012758	2015	4	13	13	28	-21.43
11		2012010879	2016	4	19	11	12	-16.17
10		2012012068	2016	4	2	5	33	-3.83
9		2015012946	2015	10	16	18	38	-14.99
12		2013010537	2016	1	1	1	36	-7.31
1		2014011759	2015	4	22	18	56	-9.02
3		2015012384	2015	9	24	21	37	-21.51
12		2012011553	2016	3	8	14	7	-20.65
1		2013013685	2016	11	18	14	37	-14.39
11		2014012773	2015	6	3	3	42	-3.05
12		2013012615	2015	9	18	7	44	-19.25
4		2013010399	2016	12	25	12	8	-16.64
9		2012010542	2016	7	14	1	5	-13.71
2		2012010676	2015	1	11	1	11	-11.80
13		2015011259	2015	1	1	23	53	-15.32
4		2013013406	2016	4	24	9	36	-15.00
1		2012011889	2015	6	23	8	59	-21.43
5		2012011776	2015	12	2	8	10	-7.75
7		2013011795	2016	6	7	18	41	-22.05
8		2014011100	2016	9	30	11	42	210.35
8		2012011768	2016	4	18	12	57	-14.02
3		2015011282	2016	1	8	10	55	-8.39
12		2015010515	2015	2	16	6	38	-6.98
5		2013010332	2016	7	28	18	10	-11.35
4		2014011128	2015	10	17	17	52	-5.01
14		2013011142	2015	9	12	16	22	-14.95
14		2014013443	2015	4	28	8	17	-6.38
10		2012013445	2016	4	7	22	13	-10.02
12		2012012281	2016	3	12	11	2	-10.13
3		2015013055	2015	4	22	3	4	-21.74
9		2015012065	2016	8	8	16	54	-14.36
10		2015012714	2016	2	25	2	5	-10.57
9		2015010095	2016	12	17	10	35	350.40
3		2015011676	2016	6	23	11	39	-3.17
8		2012011191	2015	2	24	18	41	-21.86
9		2014011277	2016	1	2	8	48	-14.03
7		2012013731	2015	3	2	9	22	-15.30
6		2014010445	2016	11	14	8	42	-16.89
11		2015011070	2016	11	6	14	7	313.96
8		2012013246	2015	9	28	13	31	-19.04
9		2013012980	2015	1	19	19	34	-11.96
8		2014013304	2015	3	30	16	20	-17.51
11		2015010064	2015	4	4	1	44	-21.93
14		2015010543	2015	10	15	6	42	-18.29
8		2014012180	2015	11	11	14	29	-17.20
8		2013013233	2015	1	11	9	10	-9.54
3		2013010203	2015	2	25	4	27	-12.46
14		2015010610	2016	7	29	11	11	-14.50
7		2014012186	2016	10	7	11	4	-6.80
14		2013010438	2016	6	3	23	42	-3.73
5		2012013127	2016	2	3	5	25	-9.89
5		2013011657	2016	8	1	3	59	-21.82
7		2012011722	2016	5	6	14	27	-13.72
10		2015010055	2016	12	13	0	14	-8.51
9		2012011488	2016	10	12	13	9	-11.60
5		2013011536	2016	8	22	1	40	183.93
10		2014010254	2016	11	5	3	26	-22.22
8		2013011913	2015	12	6	6	48	-12.23
2		2012013032	2015	12	10	9	15	273.90
12		2013011716	2016	10	25	14	44	-7.68
13		2015010194	2016	1	10	9	13	-4.65
4		2015011794	2015	8	29	13	48	-7.44
10		2013010656	2016	10	4	19	24	-9.29
11		2012011932	2016	10	26	15	29	-13.73
5		2015011538	2015	10	8	18	32	-22.71
12		2015012577	2016	1	20	23	39	-19.76
13		2013010261	2016	6	25	11	51	-3.62
9		2014013798	2015	11	10	8	22	-5.58
13		2015010858	2015	9	11	19	42	-18.63
3		2013012395	2015	4	7	4	53	-11.51
6		2012011201	2016	7	15	1	54	-14.72
6		2013012639	2016	6	11	17	12	-12.80
14		2014010951	2016	7	1	16	35	54.58
13		2012012777	2015	10	8	6	29	-18.59
2		2014012058	2015	7	9	22	51	-13.80
9		2013010781	2015	2	24	8	5	-21.95
7		2012011681	2015	6	19	3	0	-3.85
4		2014010735	2016	2	10	3	4	114.17
4		2014010571	2016	7	18	3	55	-10.13
10		2012011852	2016	6	28	16	30	-5.23
7		2014011804	2015	3	16	5	46	-12.88
5		2013010685	2016	7	12	13	12	-9.83
6		2013010536	2016	12	23	9	22	-16.14
8		2012011487	2015	11	4	1	15	-4.15
6		2013010287	2015	7	17	21	18	-10.53
6		2015011680	2016	10	5	7	18	-9.65
12		2014010671	2015	12	14	2	37	-15.13
14		2013010332	2016	11	29	8	19	-15.14
10		2014012571	2016	4	17	1	32	-20.99
14		2015013572	2015	9	25	9	50	-18.24
8		2013011637	2015	9	1	7	1	-15.81
2		2014010055	2016	5	22	17	32	-14.24
3		2013010080	2015	6	19	10	9	-19.53
5		2012010107	2015	4	1	14	57	-4.62
5		2014013858	2015	12	13	3	37	-4.36
12		2014013628	2016	3	24	10	48	-7.82
8		2013012653	2016	5	14	12	30	-19.74
1		2014010220	2015	11	8	12	40	-13.02
12		2012012821	2015	5	12	15	42	-12.86
6		2014012435	2015	8	25	10	18	-19.56
6		2012011553	2015	12	14	5	58	-16.46
14		2015011814	2015	4	4	5	32	-7.99
10		2014010394	2015	9	9	6	37	-18.41
7		2014013432	2016	6	30	10	28	84.14
14		2012012808	2015	9	12	13	32	355.29
5		2012013031	2015	7	3	19	2	-11.27
3		2012013724	2015	8	27	3	49	-10.37
8		2014010858	2016	3	29	18	28	-14.29
7		2013011683	2015	2	2	22	13	-6.47
14		2012013309	2016	8	11	1	23	-4.20
6		2013011497	2015	5	18	2	58	-9.74
1		2014012831	2015	10	27	0	56	-17.04
12		2012011136	2015	10	20	5	43	-18.80
11		2012010558	2015	12	20	16	7	226.04
13		2012010609	2015	6	7	4	5	-11.48
13		2012013857	2015	1	30	5	33	-11.52
10		2012011361	2015	1	3	9	2	-3.68
1		2013011374	2015	3	21	16	30	-14.85
13		2013010700	2015	5	21	6	17	-6.86
14		2013013568	2016	5	14	9	40	127.16
13		2014010163	2015	1	28	19	14	-13.22
14		2014013869	2016	12	6	0	7	-4.67
6		2014011307	2016	3	26	2	53	-5.35
11		2013013293	2015	1	9	8	9	-6.03
9		2015011997	2015	1	1	22	41	-19.53
8		2014013643	2016	1	22	15	45	-19.56
10		2014011776	2016	11	2	15	8	-20.49
11		2015011965	2015	3	30	20	47	-10.14
11		2013013190	2016	2	27	7	47	-12.64
8		2012010281	2015	5	27	20	10	-16.48
3		2013012895	2015	7	11	7	18	-18.15
8		2012011665	2015	8	22	14	36	-12.69
3		2014011599	2016	4	24	16	19	-22.11
2		2015010396	2015	11	17	3	15	-16.61
3		2012012364	2015	5	24	23	16	-17.96
9		2015013117	2016	11	27	7	4	-20.94
14		2013010737	2016	6	18	2	56	-5.85
6		2013012435	2016	6	13	1	57	-20.94
14		2015012371	2016	10	5	19	2	-21.97
4		2014011366	2015	1	6	4	0	-3.41
4		2014011188	2015	2	3	8	37	-6.08
14		2015010464	2015	2	17	18	17	-17.00
3		2012011988	2015	6	4	9	35	-21.00
9		2015010881	2016	6	22	18	42	-8.09
3		2012010812	2016	3	14	19	33	-13.02
4		2015010864	2015	12	11	10	18	-14.00
12		2013011212	2016	11	6	14	1	-13.38
4		2013013516	2016	10	9	15	18	-8.51
8		2012011259	2016	12	6	18	38	128.97
7		2013011804	2015	10	27	17	2	-20.99
14		2013010138	2016	7	7	16	45	-11.71
2		2013010948	2016	4	28	2	31	-8.15
9		2015010914	2015	4	11	1	23	-4.22
12		2015012562	2016	8	22	19	35	-21.23
8		2012010841	2016	11	7	20	13	-16.58
7		2015013077	2015	11	17	11	50	-11.92
5		2012012319	2015	7	13	13	48	-5.66
11		2012010572	2015	7	18	15	26	-9.43
5		2013010745	2015	1	3	16	29	-14.55
6		2014011305	2015	12	4	5	58	-16.30
12		2012010764	2016	1	23	5	9	-22.25
5		2014011834	2016	6	10	6	54	-17.60
8		2012011392	2015	1	28	18	0	-19.88
1		2015010539	2016	8	26	19	37	-12.45
4		2014013314	2015	4	7	5	45	-6.86
14		2014010255	2015	1	16	22	50	-5.53
13		2015010524	2015	8	23	17	3	-3.32
5		2012010817	2015	11	23	10	22	-15.31
4		2015011193	2015	7	17	23	17	-6.10
11		2015012131	2016	6	6	8	51	297.97
1		2013011387	2015	9	25	4	11	-19.39
13		2013013705	2015	12	7	14	56	-10.53
4		2013010218	2015	12	24	10	16	0.65
7		2014011630	2015	6	8	15	25	-5.16
7		2013010110	2016	3	14	17	14	174.32
14		2014013488	2015	6	9	0	31	-4.42
14		2015011705	2016	2	26	22	29	-15.15
5		2014011319	2016	5	8	2	15	-17.76
9		2012013157	2015	3	12	0	22	-8.48
10		2012011489	2015	10	1	6	1	-5.17
13		2013012789	2016	3	21	16	0	-14.13
3		2013011430	2016	8	17	21	25	-10.83
3		2014012082	2016	7	10	9	58	-4.27
7		2013010211	2016	11	23	11	35	-3.25
10		2012012856	2016	12	29	3	56	-6.71
5		2013012979	2015	6	11	3	10	-22.00
4		2012010456	2015	11	23	2	53	-21.41
7		2013011996	2015	2	25	17	27	-9.18
14		2012010016	2016	7	27	7	45	-16.78
5		2014010552	2015	6	13	6	30	-21.54
2		2014013834	2016	8	19	13	32	-19.43
10		2014012934	2015	2	5	21	0	-11.22
10		2013013403	2015	5	25	13	21	205.52
13		2015010533	2015	8	4	10	42	-19.97
13		2012012968	2015	5	17	1	7	-9.94
7		2015011291	2015	7	5	18	25	-15.43
2		2015013765	2016	9	12	2	0	-14.55
2		2012013154	2015	2	22	7	24	-14.76
2		2015010658	2016	12	26	14	23	-16.71
5		2013011913	2016	1	27	9	58	-9.03
7		2013011544	2016	11	17	12	41	-6.33
12		2012012930	2016	12	18	22	1	-15.14
9		2014012479	2016	5	19	22	3	-13.28
6		2015013086	2016	5	11	0	45	-13.34
7		2012012919	2015	1	5	11	6	-6.03
8		2014011090	2016	2	5	23	38	-15.44
10		2013010796	2015	5	12	10	27	-11.38
5		2015013409	2016	11	15	16	32	-7.43
11		2012012595	2016	9	6	0	47	-14.48
14		2012013604	2016	9	7	17	49	-13.02
2		2012011677	2015	10	25	2	53	-22.91
12		2015010410	2016	6	28	11	3	-20.30
12		2015011983	2015	11	18	3	42	398.10
9		2014012224	2015	9	1	1	53	-13.30
8		2015011695	2016	1	3	1	11	-19.78
2		2013010519	2015	11	22	22	0	-4.16
6		2014013458	2015	3	6	17	37	-14.80
9		2013011846	2015	6	28	22	56	-19.74
